Name, Comment
hip.live.com,Microsoft Teams / o365 URLS
microsoftonline.com,Microsoft Teams / o365 URLS
microsoftonline-p.com,Microsoft Teams / o365 URLS
msauth.net,Microsoft Teams / o365 URLS
msauthimages.net,Microsoft Teams / o365 URLS
msecnd.net,Microsoft Teams / o365 URLS
msftauth.net,Microsoft Teams / o365 URLS
msftauthimages.net,Microsoft Teams / o365 URLS
phonefactor.net,Microsoft Teams / o365 URLS
enterpriseregistration.windows.net,Microsoft Teams / o365 URLS
management.azure.com,Microsoft Teams / o365 URLS
policykeyservice.dc.ad.msft.net,Microsoft Teams / o365 URLS
login.oracle.com,Opera Internet Service
maintenance.six-integra.com,Opera Internet Service
misubm.ep2.telekurs.com,Opera Internet Service
myoracle.webex.com,Opera Internet Service
oracle.zoom.us,Opera Internet Service
pi.fintrax.com,Opera Internet Service
remote.oracleindustry.com,Opera Internet Service
serv.ep2.telekurs.com,Opera Internet Service
services.3cint.com,Opera Internet Service
siconfig.ep2.telekurs.com,Opera Internet Service
siinit.ep2.telekurs.com,Opera Internet Service
support.oracle.com,Opera Internet Service
tms.3cint.com,Opera Internet Service
tps.3cint.com,Opera Internet Service
